Timestamp,Value,Type
11:49:30 PM.560,"Initializing DHT11...\r\n",received
11:49:31 PM.363,"WiFi.status(): 0\r\n",received
11:49:31 PM.363,"Current WiFi Firmware: 1.5.0\r\n",received
11:49:31 PM.408,"Temperature: 27.40°C\r\n",received
11:49:31 PM.408,"Cloud Temperature: 27.40\r\n",received
11:49:35 PM.654,"Connection to \"Yugesh\" failed\r\n",received
11:49:35 PM.654,"Retrying in  \"500\" milliseconds\r\n",received
11:49:35 PM.669,"Temperature: 27.10°C\r\n",received
11:49:35 PM.669,"Cloud Temperature: 27.10\r\n",received
11:49:37 PM.889,"Connected to \"Yugesh\"\r\n",received
11:49:37 PM.920,"Temperature: 27.10°C\r\n",received
11:49:37 PM.920,"Cloud Temperature: 27.10\r\n",received
11:49:40 PM.518,"Temperature: 27.10°C\r\n",received
11:49:40 PM.518,"Cloud Temperature: 27.10\r\n",received
11:49:50 PM.355,"Temperature: 27.10°C\r\n",received
11:49:50 PM.355,"Cloud Temperature: 27.10\r\n",received
11:49:52 PM.400,"Temperature: 27.10°C\r\n",received
11:49:52 PM.400,"Cloud Temperature: 27.10\r\n",received
11:49:54 PM.719,"Temperature: 27.10°C\r\n",received
11:49:54 PM.719,"Cloud Temperature: 27.10\r\n",received
11:49:57 PM.80,"Connected to Arduino IoT Cloud\r\n",received
11:49:57 PM.80,"Thing ID: abe61ca4-2dd8-4d40-bee3-cb584d22ab47\r\n",received
11:49:57 PM.110,"Temperature: 27.10°C\r\n",received
11:49:57 PM.110,"Cloud Temperature: 27.10\r\n",received
11:49:59 PM.152,"Temperature: 27.10°C\r\n",received
11:49:59 PM.152,"Cloud Temperature: 27.10\r\n",received
11:50:01 PM.178,"Temperature: 27.10°C\r\n",received
11:50:01 PM.178,"Cloud Temperature: 27.10\r\n",received
11:50:03 PM.224,"Temperature: 27.10°C\r\n",received
11:50:03 PM.224,"Cloud Temperature: 27.10\r\n",received
11:50:05 PM.267,"Temperature: 27.10°C\r\n",received
11:50:05 PM.267,"Cloud Temperature: 27.10\r\n",received
11:50:07 PM.345,"Temperature: 27.10°C\r\n",received
11:50:07 PM.345,"Cloud Temperature: 27.10\r\n",received
11:50:09 PM.390,"Temperature: 27.10°C\r\n",received
11:50:09 PM.390,"Cloud Temperature: 27.10\r\n",received
11:50:11 PM.432,"Temperature: 27.10°C\r\n",received
11:50:11 PM.432,"Cloud Temperature: 27.10\r\n",received
11:50:13 PM.476,"Temperature: 27.10°C\r\n",received
11:50:13 PM.476,"Cloud Temperature: 27.10\r\n",received
11:50:15 PM.525,"Temperature: 27.10°C\r\n",received
11:50:15 PM.525,"Cloud Temperature: 27.10\r\n",received
11:50:17 PM.572,"Temperature: 27.10°C\r\n",received
11:50:17 PM.572,"Cloud Temperature: 27.10\r\n",received
